# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT	TOKENS
#
377	huber1992/kamsá/ABAJO_DOWN	ABAJO_DOWN	tsi̵txóka	kamsá	t s i̵ t x ó k a
794	huber1992/Español/ABAJO_DOWN	ABAJO_DOWN	abajo	Español	a b a j o
1249	huber1992/English/ABAJO_DOWN	ABAJO_DOWN	down	English	d o w n
1622	huber1992/achagua/ABAJO_DOWN	ABAJO_DOWN	jahbaa	achagua	j a h b a a
1623	huber1992/achagua/ABAJO_DOWN	ABAJO_DOWN	káiʒikula	achagua	k á i ʒ i k u l a
2029	huber1992/epena Saija/ABAJO_DOWN	ABAJO_DOWN	edáa	epena Saija	e d á a
2420	huber1992/awa/ABAJO_DOWN	ABAJO_DOWN	pulamal	awa	p u l a m a l
2763	huber1992/epena basurudó/ABAJO_DOWN	ABAJO_DOWN	edáa	epena basurudó	e d á a
3486	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	ʧiínʲe	bora	ʧ i í n ʲ e
3487	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	paá	bora	p a á
3488	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	paári	bora	p a á r i
3798	huber1992/giacone/ABAJO_DOWN	ABAJO_DOWN	diápise	giacone	d i á p i s e
4081	huber1992/barí/ABAJO_DOWN	ABAJO_DOWN	dugturə	barí	d u g t u r ə
4466	huber1992/bará/ABAJO_DOWN	ABAJO_DOWN	doká	bará	d o k á
4991	huber1992/guahibo/ABAJO_DOWN	ABAJO_DOWN	béreka	guahibo	b é r e k a
5430	huber1992/barasana/ABAJO_DOWN	ABAJO_DOWN	roká	barasana	r o k á
5431	huber1992/barasana/ABAJO_DOWN	ABAJO_DOWN	rokáhí̵á	barasana	r o k á h í̵ á
5923	huber1992/secoya/ABAJO_DOWN	ABAJO_DOWN	oka	secoya	o k a
5924	huber1992/secoya/ABAJO_DOWN	ABAJO_DOWN	kaheje	secoya	k a h e j e
6276	huber1992/cha'palaachi/ABAJO_DOWN	ABAJO_DOWN	tuʃa	cha'palaachi	t u ʃ a
6596	huber1992/guambiano/ABAJO_DOWN	ABAJO_DOWN	walʲiɕĩ̵	guambiano	w a l ʲ i ɕ ĩ̵
7084	huber1992/cuiba/ABAJO_DOWN	ABAJO_DOWN	béreka	cuiba	b é r e k a
7451	huber1992/carijona/ABAJO_DOWN	ABAJO_DOWN	ehinɯ	carijona	e h i n ɯ
7847	huber1992/macuna/ABAJO_DOWN	ABAJO_DOWN	roka	macuna	r o k a
8224	huber1992/chimila/ABAJO_DOWN	ABAJO_DOWN	wáŋgra	chimila	w á ŋ g r a
8553	huber1992/guayabero/ABAJO_DOWN	ABAJO_DOWN	beʔk	guayabero	b e ʔ k
9071	huber1992/embera chamí/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera chamí	e ɗ á
9453	huber1992/carapana/ABAJO_DOWN	ABAJO_DOWN	káróka	carapana	k á r ó k a
9817	huber1992/curripaco/ABAJO_DOWN	ABAJO_DOWN	tewaka	curripaco	t e w a k a
