# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	QLCID	CONCEPT	COUNTERPART	DOCULECT
#
377	huber1992/kamsá/ABAJO_DOWN	ABAJO_DOWN	tsi̵txóka	kamsá
1622	huber1992/achagua/ABAJO_DOWN	ABAJO_DOWN	jahbaa	achagua
1623	huber1992/achagua/ABAJO_DOWN	ABAJO_DOWN	káiʒikula	achagua
2029	huber1992/epena Saija/ABAJO_DOWN	ABAJO_DOWN	edáa	epena Saija
2420	huber1992/awa/ABAJO_DOWN	ABAJO_DOWN	pulamal	awa
2763	huber1992/epena basurudó/ABAJO_DOWN	ABAJO_DOWN	edáa	epena basurudó
3486	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	ʧiínʲe	bora
3487	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	paá	bora
3488	huber1992/bora/ABAJO_DOWN	ABAJO_DOWN	paári	bora
3798	huber1992/giacone/ABAJO_DOWN	ABAJO_DOWN	diápise	giacone
4081	huber1992/barí/ABAJO_DOWN	ABAJO_DOWN	dugturə	barí
4466	huber1992/bará/ABAJO_DOWN	ABAJO_DOWN	doká	bará
4991	huber1992/guahibo/ABAJO_DOWN	ABAJO_DOWN	béreka	guahibo
5430	huber1992/barasana/ABAJO_DOWN	ABAJO_DOWN	roká	barasana
5431	huber1992/barasana/ABAJO_DOWN	ABAJO_DOWN	rokáhí̵á	barasana
5923	huber1992/secoya/ABAJO_DOWN	ABAJO_DOWN	oka	secoya
5924	huber1992/secoya/ABAJO_DOWN	ABAJO_DOWN	kaheje	secoya
6276	huber1992/cha'palaachi/ABAJO_DOWN	ABAJO_DOWN	tuʃa	cha'palaachi
6596	huber1992/guambiano/ABAJO_DOWN	ABAJO_DOWN	walʲiɕĩ̵	guambiano
7084	huber1992/cuiba/ABAJO_DOWN	ABAJO_DOWN	béreka	cuiba
7451	huber1992/carijona/ABAJO_DOWN	ABAJO_DOWN	ehinɯ	carijona
7847	huber1992/macuna/ABAJO_DOWN	ABAJO_DOWN	roka	macuna
8224	huber1992/chimila/ABAJO_DOWN	ABAJO_DOWN	wáŋgra	chimila
8553	huber1992/guayabero/ABAJO_DOWN	ABAJO_DOWN	beʔk	guayabero
9071	huber1992/embera chamí/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera chamí
9453	huber1992/carapana/ABAJO_DOWN	ABAJO_DOWN	káróka	carapana
9817	huber1992/curripaco/ABAJO_DOWN	ABAJO_DOWN	tewaka	curripaco
10177	huber1992/ika/ABAJO_DOWN	ABAJO_DOWN	awaréʔki̵	ika
10580	huber1992/catío/ABAJO_DOWN	ABAJO_DOWN	eɗá	catío
10986	huber1992/cubeo/ABAJO_DOWN	ABAJO_DOWN	kãʧĩ́dõ	cubeo
10987	huber1992/cubeo/ABAJO_DOWN	ABAJO_DOWN	jebá	cubeo
11539	huber1992/muinane/ABAJO_DOWN	ABAJO_DOWN	gíino	muinane
11540	huber1992/muinane/ABAJO_DOWN	ABAJO_DOWN	báari	muinane
11948	huber1992/desano/ABAJO_DOWN	ABAJO_DOWN	doká	desano
12310	huber1992/inga/ABAJO_DOWN	ABAJO_DOWN	úra	inga
12676	huber1992/dí̵mi̵na/ABAJO_DOWN	ABAJO_DOWN	waʒina	dí̵mi̵na
13038	huber1992/embera Darién/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera Darién
13366	huber1992/nukak/ABAJO_DOWN	ABAJO_DOWN	dei⁴	nukak
13675	huber1992/jupda/ABAJO_DOWN	ABAJO_DOWN	tuh	jupda
13676	huber1992/jupda/ABAJO_DOWN	ABAJO_DOWN	hij	jupda
14038	huber1992/jitnu/ABAJO_DOWN	ABAJO_DOWN	berré	jitnu
14039	huber1992/jitnu/ABAJO_DOWN	ABAJO_DOWN	pentó berré	jitnu
14452	huber1992/koreguaje/ABAJO_DOWN	ABAJO_DOWN	βi̵ʔeβi	koreguaje
14875	huber1992/páez/ABAJO_DOWN	ABAJO_DOWN	taʃu	páez
15304	huber1992/kakua/ABAJO_DOWN	ABAJO_DOWN	dõd⁴ bo³	kakua
15305	huber1992/kakua/ABAJO_DOWN	ABAJO_DOWN	dei⁴	kakua
15767	huber1992/witoto mi̵ni̵ca/ABAJO_DOWN	ABAJO_DOWN	ána	witoto mi̵ni̵ca
16158	huber1992/kogui/ABAJO_DOWN	ABAJO_DOWN	mitábəldi	kogui
16159	huber1992/kogui/ABAJO_DOWN	ABAJO_DOWN	guéni	kogui
16592	huber1992/witoto ni̵pode/ABAJO_DOWN	ABAJO_DOWN	ána	witoto ni̵pode
17054	huber1992/miraña/ABAJO_DOWN	ABAJO_DOWN	paá	miraña
17448	huber1992/piratapuyo/ABAJO_DOWN	ABAJO_DOWN	doka	piratapuyo
17861	huber1992/playero/ABAJO_DOWN	ABAJO_DOWN	irábéreka	playero
18290	huber1992/witoto murui/ABAJO_DOWN	ABAJO_DOWN	ana	witoto murui
18777	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ãã	ocaina
18778	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ããn̥a	ocaina
18779	huber1992/ocaina/ABAJO_DOWN	ABAJO_DOWN	ɲooɲi	ocaina
19075	huber1992/orejón/ABAJO_DOWN	ABAJO_DOWN	uibi̵	orejón
19514	huber1992/piapoco/ABAJO_DOWN	ABAJO_DOWN	káaliukulé	piapoco
19871	huber1992/puinave/ABAJO_DOWN	ABAJO_DOWN	mõnõ ha	puinave
20223	huber1992/resígaro/ABAJO_DOWN	ABAJO_DOWN	hipóo	resígaro
20583	huber1992/sáliba/ABAJO_DOWN	ABAJO_DOWN	ubena	sáliba
20937	huber1992/siona/ABAJO_DOWN	ABAJO_DOWN	jihakʷa	siona
21322	huber1992/siriano/ABAJO_DOWN	ABAJO_DOWN	doká	siriano
21693	huber1992/tatuyo/ABAJO_DOWN	ABAJO_DOWN	káẽ́õrõ	tatuyo
21694	huber1992/tatuyo/ABAJO_DOWN	ABAJO_DOWN	káróka	tatuyo
22080	huber1992/tucano/ABAJO_DOWN	ABAJO_DOWN	doká	tucano
22476	huber1992/embera Tadó/ABAJO_DOWN	ABAJO_DOWN	eɗá	embera Tadó
22873	huber1992/tanimuca/ABAJO_DOWN	ABAJO_DOWN	roka	tanimuca
22874	huber1992/tanimuca/ABAJO_DOWN	ABAJO_DOWN	jeʔpa	tanimuca
23216	huber1992/tunebo central/ABAJO_DOWN	ABAJO_DOWN	ísura	tunebo central
23760	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	tobi	tsafiqui pila
23761	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	peletsi	tsafiqui pila
23762	huber1992/tsafiqui pila/ABAJO_DOWN	ABAJO_DOWN	tenpe	tsafiqui pila
24060	huber1992/totoró/ABAJO_DOWN	ABAJO_DOWN	pantzi̵	totoró
24434	huber1992/tuyuca/ABAJO_DOWN	ABAJO_DOWN	doká	tuyuca
24969	huber1992/waimaja/ABAJO_DOWN	ABAJO_DOWN	doká	waimaja
25431	huber1992/wounaan/ABAJO_DOWN	ABAJO_DOWN	eeg	wounaan
25821	huber1992/wanano/ABAJO_DOWN	ABAJO_DOWN	doka	wanano
26358	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	móluʔu	wayuu
26359	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	mmóluʔu	wayuu
26360	huber1992/wayuu/ABAJO_DOWN	ABAJO_DOWN	unáapi̵naa	wayuu
26785	huber1992/yucuna/ABAJO_DOWN	ABAJO_DOWN	kawaká	yucuna
27129	huber1992/yukpa/ABAJO_DOWN	ABAJO_DOWN	kámpano	yukpa
27514	huber1992/yurutí/ABAJO_DOWN	ABAJO_DOWN	dókaa	yurutí
#
142	huber1992/kamsá/ABEJA_BEE	ABEJA_BEE	txowána	kamsá
1395	huber1992/achagua/ABEJA_BEE	ABEJA_BEE	máaba	achagua
1787	huber1992/epena Saija/ABEJA_BEE	ABEJA_BEE	kʰími	epena Saija
2172	huber1992/awa/ABEJA_BEE	ABEJA_BEE	wã	awa
2173	huber1992/awa/ABEJA_BEE	ABEJA_BEE	walkan	awa
2174	huber1992/awa/ABEJA_BEE	ABEJA_BEE	wimal	awa
2563	huber1992/epena basurudó/ABEJA_BEE	ABEJA_BEE	kʰikʰimí	epena basurudó
3035	huber1992/bora/ABEJA_BEE	ABEJA_BEE	íímɯ́ʔóexpʰi	bora
3036	huber1992/bora/ABEJA_BEE	ABEJA_BEE	téʔtsʰipa	bora
3635	huber1992/giacone/ABEJA_BEE	ABEJA_BEE	ɲororeda	giacone
3916	huber1992/barí/ABEJA_BEE	ABEJA_BEE	moonə	barí
4236	huber1992/bará/ABEJA_BEE	ABEJA_BEE	bũbĩãbĩ̵	bará
4664	huber1992/guahibo/ABEJA_BEE	ABEJA_BEE	banamani̵to	guahibo
4665	huber1992/guahibo/ABEJA_BEE	ABEJA_BEE	ha:bi̵máni̵to	guahibo
5167	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	beroabĩ̵	barasana
5168	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	beroabi̵ki̵	barasana
5169	huber1992/barasana/ABEJA_BEE	ABEJA_BEE	hõbĩãbĩ̵	barasana
5703	huber1992/secoya/ABEJA_BEE	ABEJA_BEE	oʔa	secoya
6060	huber1992/cha'palaachi/ABEJA_BEE	ABEJA_BEE	tanda	cha'palaachi
6389	huber1992/guambiano/ABEJA_BEE	ABEJA_BEE	mawaĩ	guambiano
6776	huber1992/cuiba/ABEJA_BEE	ABEJA_BEE	bantománto	cuiba
7231	huber1992/carijona/ABEJA_BEE	ABEJA_BEE	arama	carijona
7606	huber1992/macuna/ABEJA_BEE	ABEJA_BEE	beroabi̵ki̵	macuna
8395	huber1992/guayabero/ABEJA_BEE	ABEJA_BEE	hi̵at	guayabero
8396	huber1992/guayabero/ABEJA_BEE	ABEJA_BEE	bant	guayabero
8826	huber1992/embera chamí/ABEJA_BEE	ABEJA_BEE	kʰũɾãbaɾí	embera chamí
9221	huber1992/carapana/ABEJA_BEE	ABEJA_BEE	beroábĩ̵	carapana
9598	huber1992/curripaco/ABEJA_BEE	ABEJA_BEE	maapa	curripaco
9944	huber1992/ika/ABEJA_BEE	ABEJA_BEE	ánga	ika
10338	huber1992/catío/ABEJA_BEE	ABEJA_BEE	kʰõɾãbaɾí	catío
10742	huber1992/cubeo/ABEJA_BEE	ABEJA_BEE	bũbĩ́di̵	cubeo
10743	huber1992/cubeo/ABEJA_BEE	ABEJA_BEE	kaidẽ́di̵	cubeo
11193	huber1992/muinane/ABEJA_BEE	ABEJA_BEE	ní̵í̵bi̵ri	muinane
11194	huber1992/muinane/ABEJA_BEE	ABEJA_BEE	mí̵i̵bi̵riʔi̵	muinane
11703	huber1992/desano/ABEJA_BEE	ABEJA_BEE	bõbẽ́bĩ̵	desano
12080	huber1992/inga/ABEJA_BEE	ABEJA_BEE	abix	inga
12451	huber1992/dí̵mi̵na/ABEJA_BEE	ABEJA_BEE	ni̵nga	dí̵mi̵na
12835	huber1992/embera Darién/ABEJA_BEE	ABEJA_BEE	kʰimí	embera Darién
13167	huber1992/nukak/ABEJA_BEE	ABEJA_BEE	ʔewe⁴	nukak
13509	huber1992/jupda/ABEJA_BEE	ABEJA_BEE	wowoh	jupda
13826	huber1992/jitnu/ABEJA_BEE	ABEJA_BEE	toniát	jitnu
14191	huber1992/koreguaje/ABEJA_BEE	ABEJA_BEE	oʔa	koreguaje
14603	huber1992/páez/ABEJA_BEE	ABEJA_BEE	ʃiʔdʲ	páez
14604	huber1992/páez/ABEJA_BEE	ABEJA_BEE	ʧiʔdʲ	páez
15039	huber1992/kakua/ABEJA_BEE	ABEJA_BEE	belo⁴	kakua
15488	huber1992/witoto mi̵ni̵ca/ABEJA_BEE	ABEJA_BEE	hiráŋo	witoto mi̵ni̵ca
15920	huber1992/kogui/ABEJA_BEE	ABEJA_BEE	haldikkə́bbe	kogui
16328	huber1992/witoto ni̵pode/ABEJA_BEE	ABEJA_BEE	hiráŋo	witoto ni̵pode
16788	huber1992/miraña/ABEJA_BEE	ABEJA_BEE	íímɯ́ʔóehpʰi	miraña
16789	huber1992/miraña/ABEJA_BEE	ABEJA_BEE	téʔtsʰipa	miraña
17209	huber1992/piratapuyo/ABEJA_BEE	ABEJA_BEE	ubĩkĩ̵dĩ̵	piratapuyo
17611	huber1992/playero/ABEJA_BEE	ABEJA_BEE	banamí̵to	playero
18032	huber1992/witoto murui/ABEJA_BEE	ABEJA_BEE	hirakɯɲo	witoto murui
18487	huber1992/ocaina/ABEJA_BEE	ABEJA_BEE	dʲoʔɯ́ɯ́rako	ocaina
18913	huber1992/orejón/ABEJA_BEE	ABEJA_BEE	oa	orejón
19240	huber1992/piapoco/ABEJA_BEE	ABEJA_BEE	máaba	piapoco
19657	huber1992/puinave/ABEJA_BEE	ABEJA_BEE	am	puinave
19658	huber1992/puinave/ABEJA_BEE	ABEJA_BEE	dəm	puinave
20009	huber1992/resígaro/ABEJA_BEE	ABEJA_BEE	maápú	resígaro
20372	huber1992/sáliba/ABEJA_BEE	ABEJA_BEE	muĩgodi	sáliba
20726	huber1992/siona/ABEJA_BEE	ABEJA_BEE	oʔa	siona
21089	huber1992/siriano/ABEJA_BEE	ABEJA_BEE	wãrã́rĩ́	siriano
21090	huber1992/siriano/ABEJA_BEE	ABEJA_BEE	beʔróabĩ̵	siriano
21466	huber1992/tatuyo/ABEJA_BEE	ABEJA_BEE	béróábĩ̵	tatuyo
21847	huber1992/tucano/ABEJA_BEE	ABEJA_BEE	bũbĩã́wĩ̵	tucano
22248	huber1992/embera Tadó/ABEJA_BEE	ABEJA_BEE	kʰimí	embera Tadó
22631	huber1992/tanimuca/ABEJA_BEE	ABEJA_BEE	bũbĩã	tanimuca
22999	huber1992/tunebo central/ABEJA_BEE	ABEJA_BEE	anubá	tunebo central
23000	huber1992/tunebo central/ABEJA_BEE	ABEJA_BEE	anbá	tunebo central
23539	huber1992/tsafiqui pila/ABEJA_BEE	ABEJA_BEE	tsina	tsafiqui pila
23870	huber1992/totoró/ABEJA_BEE	ABEJA_BEE	pi̵li̵m miel	totoró
24206	huber1992/tuyuca/ABEJA_BEE	ABEJA_BEE	bũbĩ́ãwĩ̵	tuyuca
24638	huber1992/waimaja/ABEJA_BEE	ABEJA_BEE	utiábĩ̵	waimaja
24639	huber1992/waimaja/ABEJA_BEE	ABEJA_BEE	beroabĩ̵	waimaja
25149	huber1992/wounaan/ABEJA_BEE	ABEJA_BEE	kʰekʰeman	wounaan
25586	huber1992/wanano/ABEJA_BEE	ABEJA_BEE	bĩkĩdãiro	wanano
26025	huber1992/wayuu/ABEJA_BEE	ABEJA_BEE	mapá	wayuu
26026	huber1992/wayuu/ABEJA_BEE	ABEJA_BEE	ʃiʃí mapá	wayuu
26548	huber1992/yucuna/ABEJA_BEE	ABEJA_BEE	munúmunú	yucuna
26919	huber1992/yukpa/ABEJA_BEE	ABEJA_BEE	mĩ̵káma	yukpa
26920	huber1992/yukpa/ABEJA_BEE	ABEJA_BEE	émi̵	yukpa
27275	huber1992/yurutí/ABEJA_BEE	ABEJA_BEE	bṍõbĩãwĩ̵	yurutí
#
171	huber1992/kamsá/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mandorí̵ʃa	kamsá
1819	huber1992/epena Saija/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰã́iʧi	epena Saija
2206	huber1992/awa/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pĩ̵	awa
2592	huber1992/epena basurudó/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰãʧí	epena basurudó
3092	huber1992/bora/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	néépapa	bora
3655	huber1992/giacone/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pirimapa	giacone
4267	huber1992/bará/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũhã́	bará
4706	huber1992/guahibo/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	hótsi	guahibo
5199	huber1992/barasana/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũsã́	barasana
5728	huber1992/secoya/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	põsa	secoya
6087	huber1992/cha'palaachi/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mu	cha'palaachi
6822	huber1992/cuiba/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	hótsi	cuiba
6823	huber1992/cuiba/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kajári	cuiba
7261	huber1992/carijona/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	ihuse	carijona
7637	huber1992/macuna/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũsã	macuna
8019	huber1992/chimila/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	króoɾiwaʔ	chimila
8440	huber1992/guayabero/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	hoest	guayabero
8856	huber1992/embera chamí/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰã́ʧi	embera chamí
9628	huber1992/curripaco/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pirimapa	curripaco
10371	huber1992/catío/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰãʤí	catío
10775	huber1992/cubeo/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũhã́	cubeo
11240	huber1992/muinane/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	nóobaba	muinane
12106	huber1992/inga/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mandúr	inga
12484	huber1992/dí̵mi̵na/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	aʃote	dí̵mi̵na
12857	huber1992/embera Darién/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰãʧí	embera Darién
13193	huber1992/nukak/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mɛ̃kũn²de¹	nukak
13857	huber1992/jitnu/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	hoʧiha	jitnu
14224	huber1992/koreguaje/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pũsa	koreguaje
15075	huber1992/kakua/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bẽʔ³	kakua
15528	huber1992/witoto mi̵ni̵ca/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	nonókɯ	witoto mi̵ni̵ca
16366	huber1992/witoto ni̵pode/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	nonókɯ	witoto ni̵pode
16826	huber1992/miraña/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	néépaʔe	miraña
17239	huber1992/piratapuyo/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	basi sõʔã	piratapuyo
17645	huber1992/playero/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	hoʧíwa	playero
18065	huber1992/witoto murui/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	nonokɯ	witoto murui
18526	huber1992/ocaina/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	ɲon̥ṍṍja	ocaina
18939	huber1992/orejón/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bosa	orejón
19275	huber1992/piapoco/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	píiri	piapoco
20039	huber1992/resígaro/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	pʰiigí	resígaro
20403	huber1992/sáliba/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	muuɲù	sáliba
20760	huber1992/siona/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bõsa	siona
21120	huber1992/siriano/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũsã́	siriano
21880	huber1992/tucano/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũsã́	tucano
22278	huber1992/embera Tadó/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	kʰã́ʧi	embera Tadó
22661	huber1992/tanimuca/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũha	tanimuca
23570	huber1992/tsafiqui pila/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	mu	tsafiqui pila
24236	huber1992/tuyuca/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũsã́	tuyuca
24675	huber1992/waimaja/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bũhã́	waimaja
25183	huber1992/wounaan/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	har	wounaan
25617	huber1992/wanano/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bãsĩ sõʔã	wanano
26582	huber1992/yucuna/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	piirí	yucuna
26953	huber1992/yukpa/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	onóto	yukpa
27306	huber1992/yurutí/ACHIOTE, BIJA_ACHIOTE	ACHIOTE, BIJA_ACHIOTE	bṹũsã	yurutí
#
282	huber1992/kamsá/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	xtsexáxonana	kamsá
866	huber1992/baniva/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	kuako	baniva
1514	huber1992/achagua/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	léemani jú	achagua
1515	huber1992/achagua/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	kuáu	achagua
1516	huber1992/achagua/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	ʒúwau	achagua
1938	huber1992/epena Saija/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	hẽɾãbée	epena Saija
1939	huber1992/epena Saija/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	hẽɾãbéehi	epena Saija
2317	huber1992/awa/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	tun	awa
2689	huber1992/epena basurudó/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	héda tʰaabee	epena basurudó
3294	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	tʰótsí̵ɯ́kʰɯnɯ́	bora
3295	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	tʰótsi̵kʰáro	bora
3296	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	pʰárɯxkʰáro	bora
3297	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	téʔexkʰáro	bora
3298	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	kʷáʧaxkʰáro	bora
3299	huber1992/bora/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	pótsʰexkʰáro	bora
3733	huber1992/giacone/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	pakuánipe	giacone
3734	huber1992/giacone/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	pejanipe	giacone
4016	huber1992/barí/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	ʧiroŋkbə	barí
4371	huber1992/bará/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	kõãì	bará
4372	huber1992/bará/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	johá	bará
4860	huber1992/guahibo/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	bó:bena	guahibo
4861	huber1992/guahibo/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	bóka:	guahibo
5324	huber1992/barasana/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	hesá	barasana
5325	huber1992/barasana/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	kãhĩ́	barasana
5832	huber1992/secoya/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	ũĩjẽ	secoya
6189	huber1992/cha'palaachi/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	tsuna	cha'palaachi
6518	huber1992/guambiano/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	tsup	guambiano
6962	huber1992/cuiba/ACOSTARSE_LIE DOWN	ACOSTARSE_LIE DOWN	bobéna	cuiba
