# Wordlist

# META
@date:2012-11-23
@source_author:Huber, Randall Q. & Reed, Robert B.
@source_title:VOCABULARIO COMPARATIVO - Palabras Selectas de Lenguas Indígenas de Colombia
@source_year:1992
@url:http://www.quanthistling.info/data/source/huber1992/wordlist.html

# DATA
ID	DOCULECT	TOKENS	CONCEPT	QLCID	COUNTERPART
#
377	kamsá	ts i̵ t x o k a	ABAJO_DOWN	huber1992/kamsá/ABAJO_DOWN	tsi̵txóka
1622	achagua	j a h b a a	ABAJO_DOWN	huber1992/achagua/ABAJO_DOWN	jahbaa
1623	achagua	k a i ʒ i k u l a	ABAJO_DOWN	huber1992/achagua/ABAJO_DOWN	káiʒikula
2029	epena Saija	e d a a	ABAJO_DOWN	huber1992/epena Saija/ABAJO_DOWN	edáa
2420	awa	p u l a m a l	ABAJO_DOWN	huber1992/awa/ABAJO_DOWN	pulamal
2763	epena basurudó	e d a a	ABAJO_DOWN	huber1992/epena basurudó/ABAJO_DOWN	edáa
3486	bora	ʧ i i nʲ e	ABAJO_DOWN	huber1992/bora/ABAJO_DOWN	ʧiínʲe
3487	bora	p a a	ABAJO_DOWN	huber1992/bora/ABAJO_DOWN	paá
3488	bora	p a a r i	ABAJO_DOWN	huber1992/bora/ABAJO_DOWN	paári
3798	giacone	d i a p i s e	ABAJO_DOWN	huber1992/giacone/ABAJO_DOWN	diápise
4081	barí	d u g t u r ə	ABAJO_DOWN	huber1992/barí/ABAJO_DOWN	dugturə
4466	bará	d o k a	ABAJO_DOWN	huber1992/bará/ABAJO_DOWN	doká
4991	guahibo	b e r e k a	ABAJO_DOWN	huber1992/guahibo/ABAJO_DOWN	béreka
5430	barasana	r o k a	ABAJO_DOWN	huber1992/barasana/ABAJO_DOWN	roká
5431	barasana	r o k a h i̵ a	ABAJO_DOWN	huber1992/barasana/ABAJO_DOWN	rokáhí̵á
5923	secoya	o k a	ABAJO_DOWN	huber1992/secoya/ABAJO_DOWN	oka
5924	secoya	k a h e j e	ABAJO_DOWN	huber1992/secoya/ABAJO_DOWN	kaheje
6276	cha'palaachi	t u ʃ a	ABAJO_DOWN	huber1992/cha'palaachi/ABAJO_DOWN	tuʃa
6596	guambiano	w a lʲ i ɕ ĩ̵	ABAJO_DOWN	huber1992/guambiano/ABAJO_DOWN	walʲiɕĩ̵
7084	cuiba	b e r e k a	ABAJO_DOWN	huber1992/cuiba/ABAJO_DOWN	béreka
7451	carijona	e h i n ɯ	ABAJO_DOWN	huber1992/carijona/ABAJO_DOWN	ehinɯ
7847	macuna	r o k a	ABAJO_DOWN	huber1992/macuna/ABAJO_DOWN	roka
8224	chimila	w a ŋ g r a	ABAJO_DOWN	huber1992/chimila/ABAJO_DOWN	wáŋgra
8553	guayabero	b e ʔ k	ABAJO_DOWN	huber1992/guayabero/ABAJO_DOWN	beʔk
9071	embera chamí	e ɗ a	ABAJO_DOWN	huber1992/embera chamí/ABAJO_DOWN	eɗá
9453	carapana	k a r o k a	ABAJO_DOWN	huber1992/carapana/ABAJO_DOWN	káróka
9817	curripaco	t e w a k a	ABAJO_DOWN	huber1992/curripaco/ABAJO_DOWN	tewaka
10177	ika	a w a r e ʔ k i̵	ABAJO_DOWN	huber1992/ika/ABAJO_DOWN	awaréʔki̵
10580	catío	e ɗ a	ABAJO_DOWN	huber1992/catío/ABAJO_DOWN	eɗá
10986	cubeo	k ã ʧ ĩ d õ	ABAJO_DOWN	huber1992/cubeo/ABAJO_DOWN	kãʧĩ́dõ
10987	cubeo	j e b a	ABAJO_DOWN	huber1992/cubeo/ABAJO_DOWN	jebá
11539	muinane	g i i n o	ABAJO_DOWN	huber1992/muinane/ABAJO_DOWN	gíino
11540	muinane	b a a r i	ABAJO_DOWN	huber1992/muinane/ABAJO_DOWN	báari
